slug,title,in_repo
a-guide-to-build-plotly-dashboard-with-ai-and-sf-data,Connect to Snowflake Data with Plotly and Build a Dashboard,True
agentic-audience-analytics,Agentic Audience Analytics for Media & Entertainment,True
analyze-data-with-python-using-posit-team,Analyze Data with Python using the Posit Team Native App and Snowflake,True
aws-s3-data-intelligence-with-cortex-ai-functions-search-analyst-and-agents,AWS S3 Data Intelligence with Cortex AI Functions and Cortex Agents,True
boltz2-protein-structure-prediction-snowflake-gpu,Boltz2 Protein Structure Prediction on Snowflake GPU Notebooks,True
build-a-cortex-agent-from-scratch-with-snowflake,Build a Cortex Agent from Scratch with Snowflake,True
build-a-due-diligence-and-investment-research-agent-in-snowflake-using-tavily,Build a Due Diligence and Investment Research Agent in Snowflake Using Tavily,True
build-a-lakehouse-with-snowflake-postgres-and-pg-lake,Build a Lakehouse with Snowflake Postgres and pg_lake,True
build-ai-apps-with-langchain-streamlit-and-snowflake-cortex,"Build AI Apps with LangChain, Streamlit and Snowflake Cortex",True
build-ai-apps-with-pydantic-langchain-streamlit-and-snowflake-cortex,"Build AI Apps with Structured Output using Pydantic, Langchain, Streamlit and Snowflake Cortex",True
build-ai-apps-with-streamlit-and-snowflake-cortex,Build AI Apps with Streamlit and Snowflake Cortex,True
build-an-ai-powered-analytics-app-with-nl,Build an AI-Powered Analytics App with Natural Language,True
build-and-deploy-interactive-dashboard-with-posit-team-and-cortex,Build and Deploy an Interactive Shiny Dashboard with the Posit Team Native App and Snowflake Cortex AI,True
build-chatbot-app-with-streamlit-and-snowflake-cortex,Build a Chatbot App with Streamlit and Snowflake Cortex,True
build-data-pipelines-with-snowflake-dcm-projects,Build Data Pipelines with Snowflake DCM Projects,True
build-image-analysis-app-with-streamlit-and-snowflake-cortex,Build an Image Analysis App with Streamlit and Snowflake Cortex,True
build-llm-model-comparison-app-with-streamlit-and-snowflake-cortex,Build an LLM Model Comparison App with Streamlit and Snowflake Cortex,True
