slug,title,content_type,tags,url
accelerate-the-deployment-of-snowflake-native-code-using-solution-installation-wizard,Advance Snowflake Native Code Deployment,Certified Solution,"Manufacturing & Industrial, IT, Streamlit, Reference Architecture, Technology, Advertising, Media & Entertainment, Streamlit, Snowflake Native App, Financial Services, Native Apps, Public Sector, Applications & Collaboration, Telecom, Healthcare & Life Sciences",https://www.snowflake.com/en/developers/guides/accelerate-the-deployment-of-snowflake-native-code-using-solution-installation-wizard/
build-ai-enabled-enterprise-applications-that-drive-action-from-your-snowflake-data-with-mendix,Build AI-Enabled Enterprise Applications That Drive Action From Your Snowflake Data With Mendix,Partner Solution,"Snowpark Container Services, Reference Architecture, Snowpipe",https://www.snowflake.com/en/developers/guides/build-ai-enabled-enterprise-applications-that-drive-action-from-your-snowflake-data-with-mendix/
cohort-builder-a-customer-segmentation-framework,Cohort Builder: A Customer Segmentation Framework,Community Solution,"Marketing, Cortex AI, Native Apps, Dynamic Tables, Retail & Consumer Goods, Streamlit, Applications & Collaboration, Reference Architecture, Telecom",https://www.snowflake.com/en/developers/guides/cohort-builder-a-customer-segmentation-framework/
create-an-llm-generated-data-catalog-using-data-crawler,Create an LLM-generated Data Catalog using Data Crawler,Community Solution,"Cortex, Reference Architecture, Snowpark, Streamlit",https://www.snowflake.com/en/developers/guides/create-an-llm-generated-data-catalog-using-data-crawler/
data-exploration-with-hex-and-snowpark,Data Exploration & Analysis using Hex and Snowpark,Partner Solution,"Snowpark, AI, Reference Architecture, Data Engineering, Technology",https://www.snowflake.com/en/developers/guides/data-exploration-with-hex-and-snowpark/
discovering-the-social-graph-of-your-customers-using-relationalai-and-snowflake,Discovering the Social Graph of your Customers using RelationalAI,Partner Solution,"Snowflake Native App, Marketing, Native Apps, AI, Applications & Collaboration, Reference Architecture",https://www.snowflake.com/en/developers/guides/discovering-the-social-graph-of-your-customers-using-relationalai-and-snowflake/
driving-customer-growth-and-retention-with-lang-ai,Driving Customer Growth and Retention with Lang.ai,Partner Solution,"AI, Reference Architecture, Native Apps",https://www.snowflake.com/en/developers/guides/driving-customer-growth-and-retention-with-lang-ai/
enhance-snowflakes-native-alerting-capabilities-using-alert-hub-framework,Enhance Snowflake's Native Alerting Capabilities,Community Solution,"Streamlit, Reference Architecture",https://www.snowflake.com/en/developers/guides/enhance-snowflakes-native-alerting-capabilities-using-alert-hub-framework/
enterprise-clearing---settlement-data-platform,Enterprise Clearing & Settlement Data Platform,Certified Solution,Financial Services,https://www.snowflake.com/en/developers/guides/enterprise-clearing---settlement-data-platform/
getting-started-with-the-data-quality-manager,Application Framework: Getting started with the Data Quality Manager,Community Solution,"Snowpark, Streamlit, Applications & Collaboration, Reference Architecture",https://www.snowflake.com/en/developers/guides/getting-started-with-the-data-quality-manager/
intervention-detection-for-retail-support,Intervention Detection for Retail Support,Certified Solution,Retail & Consumer Goods,https://www.snowflake.com/en/developers/guides/intervention-detection-for-retail-support/
make-your-lakehouse-ai-ready,Confidently Power Iceberg Pipelines with Any Data,,"Snowpipe Streaming, Secure Data Sharing, Cortex AI, Apache Iceberg, Data Engineering, Horizon",https://www.snowflake.com/en/developers/guides/make-your-lakehouse-ai-ready/
managing-ml-models-from-iteration-to-production-with-mlops-in-snowflake,Managing ML Models from Iteration to Production with MLOps,Community Solution,"IT, AI, Reference Architecture",https://www.snowflake.com/en/developers/guides/managing-ml-models-from-iteration-to-production-with-mlops-in-snowflake/
optimizing-marketing-budget-using-snowpark-ml-in-hex-notebooks,Optimizing Marketing Budget using Snowpark ML,Partner Solution,"Snowpark ML, Marketing, Snowpark, Manufacturing & Industrial, Retail & Consumer Goods, Reference Architecture, Advertising, Media & Entertainment, Technology, Financial Services, Stored Procedure, Public Sector, AI, Telecom, Healthcare & Life Sciences",https://www.snowflake.com/en/developers/guides/optimizing-marketing-budget-using-snowpark-ml-in-hex-notebooks/
snowflake-agentic-ai-in-supply-chain,Snowflake Agentic AI in Supply Chain,Certified Solution,"Reference Architecture, AI",https://www.snowflake.com/en/developers/guides/snowflake-agentic-ai-in-supply-chain/
supply-chain-network-optimization-using-snowpark-and-cortex,Supply chain network optimization using Linear Programming,Community Solution,"Cortex AI, Snowpark, Manufacturing & Industrial, Retail & Consumer Goods, Streamlit, AI, Reference Architecture",https://www.snowflake.com/en/developers/guides/supply-chain-network-optimization-using-snowpark-and-cortex/
time-series-forecasting-for-retail,Time Series Forecasting for Retail,Certified Solution,Retail & Consumer Goods,https://www.snowflake.com/en/developers/guides/time-series-forecasting-for-retail/
time-series-forecasting-using-snowpark-and-hex,Parallelized Time Series Analysis of Restaurant Foot Traffic,Partner Solution,"Sales, Snowpark, UDTF, AI, Reference Architecture",https://www.snowflake.com/en/developers/guides/time-series-forecasting-using-snowpark-and-hex/
